iter	RMSE
251	14835324.1
252	14827413.53
253	14826153.34
254	14824687.6
255	14824241.74
256	14823813.87
257	14815976.66
258	14811156.67
259	14809773.86
260	14806197.89
261	14799357.47
262	14797913.15
263	14795463.84
264	14792290.39
265	14791528.44
266	14788670.8
267	14780318.38
268	14775965.89
269	14770768.92
270	14764452.06
271	14763907.6
272	14761250.57
273	14759893.05
274	14758610.06
275	14752535.59
276	14744141.95
277	14742927.15
278	14740173.09
279	14739533.52
280	14734027.38
281	14730991.78
282	14729559.76
283	14722034.38
284	14719252.04
285	14715811.75
286	14714974.64
287	14714638.6
288	14708144.67
289	14699831.91
290	14697746.34
291	14693475.69
292	14688576.4
293	14688025.12
294	14681440.58
295	14680921.04
296	14680447.65
297	14675858.34
298	14673611.14
299	14672567.24
300	14672472.03
301	14672063.43
302	14667611.96
303	14666751.39
304	14666381.61
305	14662267.67
306	14659761.45
307	14652127.95
308	14648413.16
309	14646427.29
310	14644091.92
311	14643722.05
312	14638780.39
313	14634851.25
314	14630647.26
315	14627862.97
316	14625768.94
317	14623439.95
318	14622232.67
319	14615263.4
320	14610193.21
321	14609783.92
322	14605861.54
323	14605455.76
324	14603817.44
325	14600773.52
326	14595812.4
327	14591337.88
328	14590083.44
329	14587908.2
330	14587403.39
331	14586954.67
332	14581552.51
333	14577875.44
334	14576914.94
335	14573570.65
336	14569702.73
337	14567084.97
338	14565215
339	14563628.16
340	14563076.33
341	14560619.28
342	14556989.08
343	14553588.51
344	14551279.83
345	14548167.67
346	14547818.41
347	14547246.41
348	14541422.65
349	14540766.57
350	14536577.37
351	14531210.04
352	14530924.32
353	14530247.96
354	14522613.4
355	14522206.9
356	14521905.1
357	14521732.29
358	14521446.86
359	14519464.37
360	14517673.78
361	14513973.77
362	14513605.32
363	14513339.06
364	14507734.93
365	14507359.34
366	14507098.8
367	14506671.34
368	14503623.74
369	14502967.38
370	14499059.79
371	14498628.33
372	14497273.83
373	14495611.41
374	14492689.4
375	14492400.89
376	14486473.41
377	14484924.37
378	14484642.92
379	14480352.86
380	14476692.94
381	14473627.97
382	14473189.73
383	14472924.54
384	14469657.21
385	14465350.75
386	14462577.17
387	14459835.91
388	14458658.59
389	14458164.18
390	14457051.89
391	14452252.49
392	14449780.5
393	14447457.58
394	14446423.88
395	14446154.04
396	14444401.8
397	14437523.9
398	14437116.1
399	14433285.74
400	14433027.82
401	14431419.47
402	14429154.16
403	14428517.41
404	14424073.55
405	14417550.94
406	14411366.76
407	14409444.02
408	14406852.36
409	14402459.8
410	14400932.77
411	14400328.94
412	14396762.31
413	14396540.89
414	14393079.96
415	14389100.65
416	14383184.25
417	14381930.42
418	14377850.61
419	14377709.15
420	14371916.7
421	14368291.14
422	14367104.1
423	14366441.97
424	14364138.46
425	14358305.25
426	14354515.04
427	14349886.03
428	14346437.88
429	14344547.92
430	14339309.33
431	14336770.73
432	14336619.25
433	14335023.33
434	14333200.33
435	14330619.64
436	14328496.23
437	14324245.48
438	14323864.35
439	14319551.73
440	14319232.44
441	14317845.62
442	14316312.81
443	14315345.48
444	14309887.47
445	14305293.55
446	14303355.61
447	14301461.12
448	14301262.25
449	14299791.8
450	14297364.15
451	14292625.71
452	14292162.85
453	14289869.71
454	14286670.9
455	14282581.14
456	14282402.23
457	14280151.08
458	14275634.5
459	14274144.57
460	14271458.79
461	14268557.99
462	14268118.88
463	14267679.17
464	14267507.64
465	14267361.2
466	14265954.96
467	14262017.34
468	14256879.94
469	14254138.04
470	14252217.14
471	14250951.96
472	14246028.24
473	14244435.76
474	14239785.06
475	14238012.82
476	14237816.4
477	14235953.66
478	14235687.76
479	14234603.76
480	14233272.41
481	14233172.37
482	14229689.11
483	14228483.09
484	14228332.99
485	14225737.07
486	14225688.41
487	14225544.5
488	14224704.87
489	14224444.36
490	14222205.57
491	14221603.77
492	14216592.25
493	14211306.39
494	14211218.12
495	14210705.19
496	14209592.39
497	14207701.21
498	14207336.5
499	14206294.22
500	14201712.26
501	14201537.41
502	14200410.14
503	14197078.73
504	14193965.64
505	14191692.56
506	14190929.18
507	14189919.35
508	14187497.15
509	14187232.32
510	14184377.97
511	14183249.58
512	14180186.92
513	14176517.59
514	14173348.63
515	14171417.33
516	14169587.45
517	14165127.56
518	14162549.17
519	14157860.71
520	14153768.65
521	14153313.41
522	14149090.75
523	14148128.5
524	14147216.09
525	14145246.35
526	14140913.2
527	14140684.52
528	14140374.24
529	14140210.23
530	14138569.66
531	14134193.38
532	14132497.77
533	14132117.64
534	14128309.91
535	14128156.1
536	14127963.32
537	14125178.61
538	14122358.88
539	14119878.41
540	14115878.21
541	14115000.68
542	14110784.4
543	14106564.86
544	14102936.82
545	14102295.36
546	14102113.97
547	14100803.87
548	14097792.75
549	14096188.24
550	14096035.65
551	14092390.63
552	14088233.32
553	14084356.3
554	14083462.21
555	14083364.54
556	14083151.62
557	14081747.32
558	14079877.44
559	14077221.51
560	14076621.9
561	14075925.79
562	14075626.18
563	14075472.03
564	14075125.69
565	14073345.04
566	14072904.01
567	14072773.99
568	14069880.86
569	14069695.52
570	14069135.76
571	14068966.64
572	14067702.64
573	14063570.48
574	14061482.84
575	14059949.3
576	14059884.32
577	14058188.59
578	14057060.63
579	14056702.64
580	14053024.75
581	14049847.45
582	14049431.46
583	14047402.57
584	14044717.64
585	14044420.91
586	14041717.71
587	14039220.52
588	14039046.78
589	14038850.75
590	14035693.99
591	14034252.63
592	14030225.77
593	14026535.71
594	14023118.69
595	14021665.54
596	14020886.13
597	14018363.33
598	14018109.17
599	14016524.85
600	14016205.47
601	14013359.71
602	14012733.6
603	14009879.79
604	14009854.59
605	14008828.27
606	14008785.56
607	14005526.72
608	14004946.3
609	14001334.09
610	13999333.17
611	13999175.88
612	13999033.17
613	13998390.85
614	13998331.4
615	13998207.72
616	13998107.26
617	13996520.53
618	13994812.65
619	13994245.78
620	13994158.2
621	13992685.46
622	13990382.55
623	13989826.87
624	13987412.97
625	13987318.48
626	13987006.67
627	13986712.96
628	13985349.46
629	13984078.43
630	13981574.09
631	13981482.5
632	13981431.7
633	13980138.49
634	13977783.76
635	13976229.57
636	13974802.8
637	13973650.03
638	13973007.49
639	13971737.64
640	13971435.48
641	13970596.36
642	13969125.57
643	13969003.83
644	13968832.29
645	13968700.03
646	13966040.99
647	13965985.94
648	13965734.28
649	13964824.12
650	13964663.43
651	13964198.88
652	13961079.71
653	13957639.77
654	13956672.25
655	13956217.51
656	13955038.23
657	13952011.09
658	13951987.98
659	13948398.31
660	13948147.29
661	13944181.94
662	13941962.76
663	13941941.34
664	13939090.1
665	13935783.81
666	13932628.37
667	13931202.54
668	13929114.05
669	13928192.01
670	13926541.11
671	13924413.67
672	13922644.84
673	13919650.8
674	13916906.93
675	13916218.51
676	13915579.6
677	13915538.06
678	13915053.06
679	13914995.57
680	13912369
681	13912105.6
682	13909924.06
683	13909390.91
684	13908524.32
685	13908312.86
686	13908145.31
687	13908035.07
688	13905426.45
689	13905194.26
690	13905051.78
691	13901304.11
692	13900434.43
693	13898748.97
694	13895855.61
695	13894700.29
696	13892345.95
697	13889543.11
698	13887010.69
699	13886920.59
700	13886849.35
701	13885492.44
702	13885365.6
703	13885217.6
704	13883228.86
705	13883170.9
706	13882626.69
707	13879616.04
708	13879211.31
709	13877173.89
710	13876879.24
711	13875820.46
712	13875714.49
713	13874986.42
714	13874832.96
715	13873061.88
716	13872314.55
717	13872155.66
718	13872089.19
719	13872006.06
720	13871899.78
721	13871537.91
722	13869508.55
723	13868464.5
724	13866751.2
725	13866117.34
726	13866100.03
727	13862714.92
728	13861799.34
729	13860343.17
730	13857713.5
731	13857513.74
732	13857173.57
733	13857104.33
734	13856990.1
735	13854625.35
736	13853516.46
737	13852644.24
738	13852437.38
739	13851624.8
740	13851610.89
741	13849679.81
742	13848789.18
743	13847529.95
744	13847453.21
745	13846705.96
746	13844264.01
747	13841131.67
748	13839047.72
749	13838933.14
750	13838239.57
751	13838205.45
752	13836301.72
753	13834543.41
754	13834417.29
755	13834338.27
756	13832107.21
757	13831048.74
758	13830405.68
759	13830352.85
760	13830162.12
761	13829189.39
762	13829046.16
763	13828357.84
764	13828311.67
765	13826201.59
766	13825026.83
767	13824827.92
768	13824777.48
769	13824410.9
770	13823591.48
771	13821811.92
772	13821747.48
773	13819548.14
774	13817859.67
775	13815368.07
776	13812585.61
777	13811211.16
778	13808009.41
779	13807767.93
780	13805926.72
781	13805567.56
782	13803557.73
783	13802535.41
784	13802451.84
785	13800746.63
786	13798519.9
787	13798198.7
788	13796090.8
789	13794147.9
790	13793088.73
791	13792435.93
792	13792376.48
793	13789996.51
794	13786974.37
795	13784995.56
796	13783915.24
797	13783754.28
798	13781784.57
799	13781596.92
800	13780933.52
801	13778357.49
802	13777953.34
803	13776718.18
804	13775989.46
805	13775862.5
806	13775742.05
807	13775646.27
808	13775601.55
809	13775255.72
810	13775252.06
811	13773288.06
812	13772759.71
813	13772694.17
814	13772673.9
815	13771967.33
816	13769545.32
817	13769517.81
818	13768709.78
819	13768600.94
820	13767934.68
821	13765346.94
822	13762982.92
823	13762915.33
824	13762534.11
825	13762441
826	13761297.66
827	13760775.57
828	13759104.42
829	13758116.63
830	13757996.09
831	13756156.25
832	13755571.15
833	13754644.33
834	13753767.2
835	13752047.27
836	13751108.4
837	13749594.08
838	13747920.58
839	13747454.03
840	13746796.57
841	13745006.49
842	13744945.5
843	13744482.81
844	13743058.26
845	13741462.99
846	13741434.94
847	13738618.73
848	13735963.98
849	13734453.04
850	13733556.99
851	13733399.87
852	13732284.88
853	13730836.59
854	13729641.27
855	13728092.51
856	13728055.51
857	13726521.53
858	13724994.64
859	13724959.45
860	13724860.69
861	13724507.1
862	13723870.26
863	13721808.33
864	13719936.29
865	13717615.81
866	13717516.56
867	13716972.41
868	13715515.1
869	13715218.74
870	13714243.44
871	13713652.72
872	13711566.33
873	13711510.04
874	13710800.61
875	13710277.92
876	13710252.84
877	13709778.62
878	13709330.1
879	13707854.67
880	13707326.48
881	13706615.64
882	13706577.8
883	13706565.42
884	13705730.77
885	13705691.2
886	13705615.32
887	13705350.45
888	13705273.37
889	13704504.01
890	13702313.66
891	13702277.39
892	13701943.23
893	13700237.64
894	13699537.05
895	13699367.17
896	13697359.04
897	13695786.82
898	13695420.56
899	13695320.77
900	13693904.45
901	13692648.51
902	13692033.57
903	13691744.1
904	13691400.46
905	13691330.72
906	13690873.01
907	13690490.55
908	13689873.87
909	13689191.33
910	13689142.21
911	13689071.28
912	13686977.55
913	13686319.46
914	13686041.17
915	13685999.55
916	13685650.46
917	13684305.43
918	13684223.27
919	13682817.77
920	13682573.77
921	13680324.26
922	13680316.34
923	13678097.78
924	13677889.3
925	13676312.19
926	13675909.3
927	13675653.07
928	13673551.48
929	13672348.29
930	13672313.32
931	13669892.2
932	13667609.85
933	13667538.1
934	13665572.39
935	13665537.62
936	13664037.38
937	13663963.92
938	13662297.66
939	13662221.88
940	13661792.96
941	13661030.52
942	13660161.82
943	13659477.99
944	13658773.14
945	13656922.77
946	13655622.37
947	13655540.74
948	13654540.91
949	13653786.28
950	13653704.95
951	13653677.96
952	13653375.22
953	13653068.74
954	13651636.21
955	13650199.15
956	13648769.58
957	13648687.25
958	13648618.8
959	13648552.21
960	13648459.09
961	13646913.27
962	13645213.26
963	13645201.87
964	13643938.68
965	13642979.47
966	13642619.56
967	13641689.67
968	13640419.17
969	13640339.46
970	13640287.72
971	13638344.19
972	13637072.69
973	13636934.39
974	13636882.59
975	13635404.25
976	13633463.43
977	13633400.35
978	13632311.57
979	13630997.96
980	13630979.07
981	13630604.9
982	13630498.83
983	13630196.53
984	13629606
985	13629521.69
986	13629508.37
987	13629258.81
988	13627523.31
989	13627446.88
990	13626493.54
991	13625013.39
992	13622940.79
993	13621351.56
994	13621112.2
995	13620218.4
996	13618831.06
997	13618235.41
998	13617345.09
999	13615863.84
